Question,Label,hindi_question,manually_translated_hindi,english_transliterated,disease,treatment plan,drug
what kind of doctor does one see for hemorroids?,Disease,Hemorroids के लिए किस तरह के डॉक्टर को देखते हैं?,बवासीर के लिए किस तरह का डॉक्टर देखता है?,bavasira ke lie kisa taraha ka doctor dekhata hai?,बवासीर,,
what is symtoms of dibities,Disease,Dibities के symtoms क्या है,मधुमेह के लक्षण क्या है,madhumeha ke lakshana kya hai,मधुमेह,,
should you avoid alcohol after having acute pancreatitis?,Other,क्या आपको तीव्र अग्नाशयशोथ होने के बाद शराब से बचना चाहिए?,तीव्र अग्नाशयशोथ होने के बाद क्या आपको शराब से बचना चाहिए?,tivra agnashayashotha hone ke bada kya apako sharaba se bachana chahie?,,,
what can cause ererctile disfucntion?,Disease,क्या ererctile disfucntion का कारण बन सकता है?,इरेक्टाइल डिसफंक्शन का कारण क्या हो सकता है?,erectile disfunction ka karana kya ho sakata hai?,इरेक्टाइल डिसफंक्शन,,
why are the testes located outside the body in the adult male?,Other,वृषण वयस्क पुरुष में शरीर के बाहर क्यों स्थित हैं?,वयस्क पुरुष में वृषण शरीर के बाहर क्यों स्थित होते हैं?,vayaska purusha mem vrishana sharira ke bahara kyom sthita hote haim?,,,
can liver cancer kill you,Disease,लीवर कैंसर आपको मार सकता है,क्या लीवर कैंसर आपको मार सकता है,kya liver cancer apako mara sakata hai,लीवर कैंसर,,
do there are cure for cerebral palsy?,Disease,क्या सेरेब्रल पाल्सी का इलाज है?,क्या सेरेब्रल पाल्सी का कोई इलाज है?,kya cerebral palsy ka koi ilaja hai?,सेरेब्रल पाल्सी,,
what causes pain in big toe joint,Other,बड़े पैर की अंगुली के जोड़ में दर्द का कारण क्या है,बड़े पैर के जोड़ में दर्द क्या होता है,badae paira ke jodon mem darda kya hota hai,,,
can you live without your ears?,Other,क्या आप अपने कानों के बिना रह सकते हैं?,क्या तुम अपने कानों के बिना रह सकते हो?,kya tuma apane kanom ke bina raha sakate ho?,,,
how can constipation affect your body weight?,Disease,कब्ज आपके शरीर के वजन को कैसे प्रभावित कर सकता है?,कब्ज आपके शरीर के वजन को कैसे प्रभावित कर सकता है?,kabja apake sharira ke vajana ko kaise prabhavita kara sakata hai?,कब्ज,,
will a yeast infection occur if you are not taking your insulin?,Drug,क्या एक खमीर संक्रमण होगा यदि आप अपना इंसुलिन नहीं ले रहे हैं?,यदि आप अपना इंसुलिन नहीं ले रहे हैं तो क्या यीस्ट इन्फेक्शन हो जाएगा?,yadi apa apana insulin nahim le rahe haim to kya yeast infection ho jaega?,,,इंसुलिन
can an individual have more than one type of arthritis at a time?,Disease,क्या किसी व्यक्ति को एक समय में एक से अधिक प्रकार के गठिया हो सकते हैं?,क्या एक व्यक्ति को एक समय में एक से अधिक प्रकार के गठिया हो सकते हैं?,kya eka vyakti ko eka samaya mem eka se adhika prakara ke gathiya ho sakate haim?,गठिया,,
can infected tonsils break apart and poison your blood stream?,Disease,संक्रमित tonsils अलग तोड़ सकते हैं और अपने रक्त प्रवाह जहर?,क्या संक्रमित टॉन्सिल टूट सकते हैं और आपके रक्त प्रवाह में जहर घोल सकते हैं?,kya samkramita tonsil tuta sakate haim aura apake rakta pravaha mem jahara ghola sakate haim?,टॉन्सिल,,
will anti perspirant cause breast cancer?,Disease,विरोधी perspirant स्तन कैंसर का कारण होगा?,क्या एंटी पर्सपिरेंट से ब्रेस्ट कैंसर होगा?,kya anti perspirant se breast cancer hoga?,ब्रेस्ट कैंसर,,
can infants get strep throat?,Other,क्या शिशुओं को स्ट्रेप गले मिल सकता है?,क्या शिशुओं को गले में खराश हो सकती है?,kya shishuom ko gale mem kharasha ho sakati hai?,,,
does percocet cause weight gain,Drug,क्या पर्कोसेट वजन बढ़ाने का कारण बनता है,क्या पेर्कोसेट वजन बढ़ने का कारण बनता है,kya percocet vajana badhonne ka karana banata hai,,,पेर्कोसेट
genital herpes can it spread from drinking from other people drinking cups,Disease,जननांग दाद यह कप पीने वाले अन्य लोगों से पीने से फैल सकता है,जननांग दाद यह अन्य लोगों के कप पीने से फैल सकता है?,jananamga dada yaha anya logom ke kapa pine se phaila sakata hai?,जननांग दाद,,
why do men feel hungry after sex?,Other,सेक्स के बाद पुरुषों को भूख क्यों लगती है?,सेक्स के बाद पुरुषों को भूख क्यों लगती है?,sex ke bada purushom ko bhukha kyom lagati hai?,,,
can lymph nodes become infected?,Other,लिम्फ नोड्स संक्रमित हो सकते हैं?,क्या लिम्फ नोड्स संक्रमित हो सकते हैं?,kya lymph nodes samkramita ho sakate haim?,,,
can rupturing a cyst under the skin cause cancer,Disease,त्वचा के नीचे एक पुटी rupturing कैंसर का कारण बन सकता है,त्वचा के नीचे पुटी फटने से कैंसर हो सकता है,tvacha ke niche puti phatane se cancer ho sakata hai,कैंसर,,
is there a permanent hair removal product available for men?,Other,वहाँ एक स्थायी बाल हटाने के उत्पाद पुरुषों के लिए उपलब्ध है?,क्या एक स्थायी बाल हटाने के उत्पाद पुरुषों के लिए उपलब्ध है?,kya eka sthayi bala hatane ke utpada purushom ke lie upalabdha hai?,,,
what ingredients should you avoid in your makeup if you have sensitive skin?,Other,यदि आपके पास संवेदनशील त्वचा है तो आपको अपने मेकअप में किन सामग्रियों से बचना चाहिए?,यदि आपके पास संवेदनशील त्वचा है तो आपको अपने मेकअप में किन सामग्रियों से बचना चाहिए?,yadi apake pasa samvedanashila tvacha hai to apako apane mekapa mem kina samagriyom se bachana chahie?,,,
"what does ""half-life"" mean for a drug?",Other,"एक दवा के लिए ""आधा जीवन"" का क्या मतलब है?","एक दवा के लिए ""हाफ लाइफ"" का क्या मतलब है?","eka dava ke lie ""half life"" ka kya matalaba hai?",,,
how many cc's are in an ml?,Other,एक मिलीलीटर में कितने सीसी हैं?,एक मिलीलीटर में कितने सीसी हैं?,eka mililitre mem kitane cc haim?,,,
when can i start buying insurance through the marketplace?,Other,जब मैं बाजार के माध्यम से बीमा खरीदना शुरू कर सकते हैं?,कब बाजार बीमा खरीदना शुरू कर सकते हैं?,kaba bajara bima kharidana shuru kara sakate haim?,,,
"is divorce that triggers loss of health insurance coverage a ""life event change""?",Other,"तलाक है कि स्वास्थ्य बीमा कवरेज के नुकसान को ट्रिगर करता है एक ""जीवन घटना परिवर्तन""?",,,,,
who are the 3 health insurance companies for illinois?,Other,इलिनोइस के लिए 3 स्वास्थ्य बीमा कंपनियां कौन हैं?,इलिनोइस के ३ स्वास्थ्य बीमा कंपनियां कौन हैं?,ilinois ke 3 svasthya bima kampaniyam kauna haim?,,,
can having your scalp massaged affect the health of your hair in any way?,Other,क्या आपकी खोपड़ी की मालिश किसी भी तरह से आपके बालों के स्वास्थ्य को प्रभावित कर सकती है?,क्या आपके सिर की मालिश करने से आपके बालों के स्वास्थ्य पर किसी भी तरह का प्रभाव पड़ सकता है?,kya apake sira ki malisha karane se apake balom ke svasthya para kisi bhi taraha ka prabhava padon sakata hai?,,,
is flossing safe for kids under 3?,Other,क्या 3 साल से कम उम्र के बच्चों के लिए फ्लॉसिंग सुरक्षित है?,क्या 3 साल से कम उम्र के बच्चों के लिए फ्लॉसिंग सुरक्षित है?,kya 3 sala se kama umra ke bachchom ke lie flossing surakshita hai?,,,
if a person never has fluoride what will happen to their teeth?,Other,"यदि किसी व्यक्ति को कभी फ्लोराइड नहीं होता है, तो उनके दांतों का क्या होगा?","यदि किसी व्यक्ति को कभी फ्लोराइड नहीं मिलता है, तो उनके दांतों का क्या होगा?","yadi kisi vyakti ko kabhi phloraida nahim milata hai, to unake damtom ka kya hoga?",,,
at what age do children begin to get their adult teeth?,Other,किस उम्र में बच्चों को अपने वयस्क दांत मिलना शुरू हो जाते हैं?,किस उम्र में बच्चों को अपने वयस्क दांत मिलना शुरू हो जाते हैं?,kisa umra mem bachchom ko apane vayaska damta milana shuru ho jate haim?,,,
what is the best color for full porcelain dentures?,Treatment,पूर्ण चीनी मिट्टी के बरतन डेन्चर के लिए सबसे अच्छा रंग क्या है?,पोसेलेन के डेन्चर के लिए सबसे अच्छा रंग क्या है?,porcelein ke denchara ke lie sabase achcha ramga kya hai?,,पोसेलेन के डेन्चर,
can you get dental implants if you grind your teeth?,Other,यदि आप अपने दांतों को पीसते हैं तो क्या आप दंत प्रत्यारोपण प्राप्त कर सकते हैं?,यदि आप अपने दांतों को पीसते हैं तो क्या आप दंत प्रत्यारोपण प्राप्त कर सकते हैं?,yadi apa apane damtom ko pisate haim to kya apa damta pratyaropana prapta kara sakate haim?,,,
how can i find a good orthodontist or oral surgeon for my daughter?,Other,मैं अपनी बेटी के लिए एक अच्छा orthodontist या मौखिक सर्जन कैसे मिल सकता है?,अपनी बेटी के लिए एक अच्छा ओथडोटिस या मौखिक सर्जन कैसे मिल सकता है?,apani beti ke lie eka achcha othadontis ya maukhika surgeon kaise mila sakata hai?,,,
,,,,,,,
What are the instructions for the storage and disposal of Ubicar Tablet?,Drug,यूबीकर टैबलेट (Ubicar Tablet) के भंडारण और निपटान के लिए क्या निर्देश हैं?,यूबीकार टैबलेट के भंडारण और निपटान के लिए क्या निर्देश हैं?,,,,यूबीकार टैबलेट
"Should I avoid any foods, drinks while taking Bilazest 20mg Tablet?",Drug,"क्या मुझे बिलाज़ेस्ट २०एमजी टैबलेट (Bilazest 20mg Tablet) लेते समय किसी भी खाद्य पदार्थों, पेय पदार्थों से बचना चाहिए?","क्या मुझे बिलाज़ेस्ट २०एमजी टैबलेट लेते समय किसी भी खाद्य पदार्थ, पेय से बचना चाहिए?",,,,बिलाज़ेस्ट २०एमजी टैबलेट
Is Fluka 150 Tablet over the counter (OTC)?,Drug,क्या फ्लूका १५० टैबलेट (ओटीसी) पर है?,क्या फ्लूका १५० टैबलेट बिना पर्ची का है?,,,,फ्लूका १५० टैबलेट
Does Justin AQ 75mg Injection make you drowsy?,Drug,क्या जस्टिन एक्यू ७५एमजी इंजेक्शन आपको उनींदा बनादेता है?,क्या जस्टिन एक्यू ७५एमजी इंजेक्शन आपको मदहोश कर देता है?,,,,जस्टिन एक्यू ७५एमजी इंजेक्शन
Can Dolonex DT 20mg Tablet be used in hypertension?,Drug,क्या उच्च रक्तचाप में डोलोनेक्स डीटी २०एमजी टैबलेट (Dolonex DT 20mg Tablet) का प्रयोग किया जा सकता है?,क्या उच्च रक्तचाप में डोलोनेक्स डीटी २०एमजी टैबलेट का प्रयोग किया जा सकता है?,,उच्च रक्तचाप,,डोलोनेक्स डीटी २०एमजी टैबलेट
Is Domstal 10mg Tablet used for motion sickness?,Drug,क्या मोशन सिकनेस के लिए डोमस्टल १०एमजी टैबलेट (Domstal 10mg Tablet) का प्रयोग किया जाता है?,क्या सफ़र के कारण उबकाई के लिए डोमस्टल १०एमजी टैबलेट का प्रयोग किया जाता है?,,,,डोमस्टल १०एमजी टैबलेट
For how long should I continue Teczine Tablet?,Drug,मुझे कितने समय तक टेक्ज़ीन टैबलेट (Teczine Tablet) जारी रखना चाहिए?,मुझे कितने समय तक टेक्ज़ाइन टैबलेट जारी रखना चाहिए?,,,,टेक्ज़ाइन टैबलेट
Will Enzar Forte  Tablet be more effective if taken in more than recommended dose?,Drug,क्या एन्ज़र फोर्टटैबलेट (Enzar Forte Tablet) अधिक प्रभावी होगा यदि अनुशंसित खुराक से अधिक लिया जाता है?,यदि अनुशंसित खुराक से अधिक मात्रा में लिया जाए तो क्या एन्ज़र फोर्ट टैबलेट अधिक प्रभावी होगा?,,,,एन्ज़र फोर्ट टैबलेट
Can the use of Hifenac-MR Tablet cause dizziness?,Drug,क्या हिफेनाक-एमआर टैबलेट (Hifenac-MR Tablet) के प्रयोग से चक्कर आना होता है?,क्या  हिफेनाक-एमआर टैबलेट के इस्तेमाल से चक्कर आ सकते हैं?,,,,हिफेनाक-एमआर टैबलेट
What is intense pulse light therapy (IPL)?,Treatment,तीव्र पल्स लाइट थेरेपी (आईपीएल) क्या है?,तीव्र पल्स लाइट थेरेपी क्या है?,,,तीव्र पल्स लाइट थेरेपी,
Is Just Tears Eye Drop bad?,Drug,क्या सिर्फ आँसू आंखों की बूंद खराब है?,क्या जस्ट टीयर्स आई ड्रॉप खराब है?,,,,जस्ट टीयर्स आई ड्रॉप
Should I take Cilacar 10 Tablet in the morning or at night?,Drug,क्या मुझे सुबह या रात में सिलाकर १० टैबलेट (Cilacar 10 Tablet) लेना चाहिए?,सिलाकर १० टैबलेट सुबह या रात में लेना चाहिए?,,,,सिलाकर १० टैबलेट
Can the use of Enzoflam Tablet cause dizziness?,Drug,क्या एन्ज़ोफ्लैम टैबलेट (Enzoflam Tablet) के प्रयोग से चक्कर आना होता है?,क्या एन्ज़ोफ्लैम टैबलेट के इस्तेमाल से चक्कर आ सकते हैं?,,,,एन्ज़ोफ्लैम टैबलेट
How long does Quadriderm NF Cream takes to work?,Other,क्वाड्रीडर्म एनएफ क्रीम (Quadriderm NF Cream) को काम करने में कितना समय लगता है?,क्वाड्रिडर्म एनएफ क्रीम को काम करने में कितना समय लगता है?,,,,क्वाड्रिडर्म एनएफ क्रीम
What are the instructions for storage and disposal of Quadrajel Gel?,Other,क्वाड्राजेल जेल के भंडारण और निपटान के लिए क्या निर्देश हैं?,क्वाड्राजेल जेल के भंडारण और निपटान के लिए क्या निर्देश हैं?,,,,क्वाड्राजेल जेल
Can I get my child vaccinated while on treatment with Augmentin Duo Oral Suspension?,Drug,क्या ऑगमेंटिन डुओ ओरल (Augmentin Duo Oral Suspension) के साथ उपचार के दौरान मैं अपने बच्चे को टीका लगवा सकता हूं?,क्या मैं ऑगमेंटिन डुओ ओरल सस्पेंशन से इलाज के दौरान अपने बच्चे का टीकाकरण करवा सकता हूं?,,,,ऑगमेंटिन डुओ ओरल सस्पेंशन
Can Gudcef 200 Tablet cause constipation?,Drug,क्या गुडसेफ २०० टैबलेट के कारण कब्ज होता है?,क्या गुडसेफ  २०० टैबलेट के कारण कब्ज हो सकता है?,,,,गुडसेफ २०० टैबलेट
Can the use of Jalra-M  50mg/1000mg Tablet lead to Vitamin B12 deficiency?,Drug,क्या जालरा-एम ५०एमजी/१० एमजी टैबलेट (Jalra-M 50mg/1000mg Tablet) के प्रयोग से विटामिन बी 12 की कमी हो सकती है?,क्या जालरा-एम ५०एमजी/१० एमजी टैबलेट के इस्तेमाल से विटामिन बी12 की कमी हो सकती है?,,,,जालरा-एम ५०एमजी/१० एमजी टैबलेट
Which is the best area to inject Human Mixtard 70/30 Suspension for Injection 100IU/ml?,Drug,इंजेक्शन 100IU/ml के लिए ह्यूमन मिक्सटार्ड 70/30 (Human Mixtard 70/30 Suspension) को इंजेक्ट करने के लिए सबसे अच्छा क्षेत्र कौन सा है?,ह्यूमन मिक्सटार्ड ७०/३० सस्पेंशन फॉर इंजेक्शन १०० एमएल को इंजेक्ट करने के लिए सबसे अच्छा क्षेत्र कौन सा है?,,,,ह्यूमन मिक्सटार्ड ७०/३० सस्पेंशन फॉर इंजेक्शन १०० एमएल
What are the things which I need to know while taking Febuget 40 Tablet?,Drug,फेबुगेट ४० टैबलेट (Febuget 40 Tablet) लेते समय मुझे कौन सी चीजें जानने की जरूरत है?,फेबुगेट ४० टैबलेट लेते समय कौन सी चीजें हैं जो मुझे जानना आवश्यक हैं?,,,,फेबुगेट ४० टैबलेट
What if I forget to take a dose of Inderal 40 Tablet?,Drug,क्या होगा यदि मैं इंदरल ४० टैबलेट (Inderal 40 Tablet) की एक खुराक लेना भूल जाता हूं?,अगर मैं इनडेरल ४० टैबलेट की एक खुराक लेना भूल जाऊं तो क्या होगा?,,,,इनडेरल ४० टैबलेट
Is Ciplox Eye/Ear Drops safe?,Drug,क्या सिप्लॉक्स आई/ईयर ड्रॉप सुरक्षित है?,क्या सिप्लॉक्स आई/ईयर ड्रॉप  सुरक्षित है?,,,,सिप्लॉक्स आई/ईयर ड्रॉप
What are the instructions for storage and disposal of Pantop-D Capsule?,Drug,पैंटोप-डी कैप्सूल के भंडारण और निपटान के लिए क्या निर्देश हैं?,पैनटॉप-डी कैप्सूल के भंडारण और निपटान के लिए क्या निर्देश हैं?,,,,पैनटॉप-डी कैप्सूल
Does Telmikind 40 Tablet work by causing excessive urination?,Drug,क्या टेल्मीकाइंड ४० टैबलेट (Telmikind 40 Tablet) अत्यधिक पेशाब की वजह से काम करता है?,क्या अत्यधिक पेशाब की वजह से टेल्मीकाइंड ४० टैबलेट  काम करता है?,,,,टेल्मीकाइंड ४० टैबलेट
Which lab tests may my child undergo while taking Taxim-O Dry Syrup Delicious Pineapple on a long-term basis?,Drug,लंबे समय तक के आधार पर टैक्सिम-ओ ड्राई सिरप स्वादिष्ट अनानास लेते समय मेरे बच्चे को किस प्रयोगशाला परीक्षण से गुजरना पड़ सकता है?,लंबे समय तक टैक्सीम-ओ ड्राय सिरप डिलीशियस पाइनएप्पल लेते समय मेरे बच्चे को कौन से लैब टेस्ट से गुजरना पड़ सकता है?,,,,टैक्सीम-ओ ड्राय सिरप डिलीशियस पाइनएप्पल
Does Human Actrapid 40IU/ml Solution for Injection need to be refrigerated?,Drug,क्या इंजेक्शन के लिए ह्यूमन एक्ट्रापिड 40आईयू/एमएल सॉल्यूशन को प्रशीतित करने की आवश्यकता है?,क्या ह्यूमन एक्ट्रापिड ४० आईयू/एमएल सॉल्यूशन फॉर इंजेक्शन को रेफ्रिजरेट करने की जरूरत है?,,,,ह्यूमन एक्ट्रापिड ४० आईयू/एमएल सॉल्यूशन फॉर इंजेक्शन
Can I give Allegra Suspension Raspberry & Vanilla along with juices?,Drug,क्या मैं रस के साथ अलेग्रा (Raspberry Suspension Raspberry & Vanilla) दे सकता हूँ?,क्या मैं जूस के साथ एलेग्रा सस्पेंशन रास्पबेरी और वेनिला दे सकता हूं?,,,,एलेग्रा सस्पेंशन रास्पबेरी और वेनिला
What is secondary bacterial peritonitis?,Disease,Secondary bacterial peritonitis क्या है?,द्वितीयक जीवाणु पेरिटोनिटिस क्या है?,,पेरिटोनिटिस,,
When and what is the right choice to take calcium supplements?,Drug,कैल्शियम की खुराक लेने के लिए कब और क्या सही विकल्प है?,कैल्शियम की खुराक लेने का सही विकल्प कब और क्या है?,,,,कैल्शियम की खुराक
Where do you inject HUCOG 5000 HP Injection?,Drug,आप हूकोग ५० एचपी इंजेक्शन को कहां इंजेक्ट करते हैं?,आप हुकोग ५००० एचपी इंजेक्शन कहाँ लगाते हैं?,,,,हुकोग ५००० एचपी इंजेक्शन
Is HUCOG 5000 HP Injection painful?,Drug,क्या हुकोग ५००० एचपी इंजेक्शन दर्दनाक है?,क्या  हुकोग ५००० एचपी इंजेक्शन दर्दनाक है?,,,,हुकोग ५००० एचपी इंजेक्शन
Can I take antacid and IT-Mac 100 Capsule together?,Drug,क्या मैं एंटासिड और आईटी-मैक १०० कैप्सूल एक साथ ले सकता हूं?,क्या मैं एंटासिड और आईटी-मैक १०० कैप्सूल एक साथ ले सकता हूं?,,,,"एंटासिड, आईटी-मैक १०० कैप्सूल"
Can Cepodem 200 Tablet cause constipation?,Drug,क्या सेपोडेम २०० टैबलेट के कारण कब्ज होता है?,क्या  सेपोडेम २०० के कारण कब्ज हो सकता है?,,,,सेपोडेम २००
How long does Ugesic Sublingual tablet work?,Drug,Ugesic Sublingual Tablet कब तक काम करता है?,यूजेसिक सबलिंगुअल टैबलेट कितने समय तक काम करता है?,,,,यूजेसिक सबलिंगुअल टैबलेट
Is Indocap SR Capsule safe?,Drug,क्या इंडोकैप एसआर कैप्सूल सुरक्षित है?,क्या इंडोकैप एसआर कैप्सूल सुरक्षित है?,,,,इंडोकैप एसआर कैप्सूल
Is Domstal 10mg Tablet an over the counter drug?,Drug,क्या डोमस्टल १०एमजी टैबलेट (Domstal 10mg Tablet) एक ओवर द काउंटर दवा है?,क्या डोमस्टल १०एमजी टैबलेट एक ओवर द काउंटर दवा है?,,,,डोमस्टल १०एमजी टैबलेट
How long will Hifenac-MR Tablet take to act?,Drug,हिफेनाक-एमआर टैबलेट (Hifenac-MR Tablet) को कार्य करने में कितना समय लगेगा?,हिफेनैक-एमआर टैबलेट को असर करने में कितना समय लगेगा?,,,,हिफेनैक-एमआर टैबलेट
Does Forxiga 10mg Tablet cause weight loss?,Drug,क्या फॉर्सिगा १०एमजी टैबलेट के कारण वजन कम होता है?,क्या फॉर्सिगा १०एमजी टैबलेट के कारण वजन कम होता है?,,,,फॉर्सिगा १०एमजी टैबलेट
What is the storage condition for the Surfaz-SN Cream?,Drug,सरफाज़-एसएन क्रीम (Surfaz-SN Cream) के लिए भंडारण की स्थिति क्या है?,सर्फ़ज़-एसएन क्रीम के लिए भंडारण की स्थिति क्या है?,,,,सर्फ़ज़-एसएन क्रीम
What should I know about the storage and disposal of Neurobion RF Forte Injection?,Drug,मुझे न्यूरोबियोन आरएफ फोर्टे इंजेक्शन के भंडारण और निपटान के बारे में क्या पता होना चाहिए?,मुझे न्यूरोबियन आरएफ फोर्ट इंजेक्शन के भंडारण और निपटान के बारे में क्या पता होना चाहिए?,,,,न्यूरोबियन आरएफ फोर्ट इंजेक्श
What are the instructions for the storage and disposal of Uphold Tablet?,Drug,अपहोल्ड टैबलेट (Uphold Tablet) के भंडारण और निपटान के लिए क्या निर्देश हैं?,यूफोल्ड टैबलेट के भंडारण और निपटान के लिए क्या निर्देश हैं?,,,,यूफोल्ड टैबलेट
Can I feel dizzy after taking Arkamin Tablet?,Drug,क्या अर्कामिन टैबलेट (Arkamin Tablet) लेने के बाद मुझे चक्कर आ सकता है?,क्या आर्कमिन टैबलेट को लेने के बाद मुझे चक्कर आ सकते हैं?,,,,आर्कमिन टैबलेट
What is the 15-15 rule?,Other,15-15 नियम क्या है?,१५-१५ नियम क्या है?,,,,
What if I don't get better after using Zifi CV 200 Tablet?,Drug,यदि ज़िफी सीवी २०० टैबलेट (Zifi CV 200 Tablet) का प्रयोग करने के बाद मुझे बेहतर नहीं मिलता है तो क्या होगा?,अगर ज़िफ़ी सीवी २०० टैबलेट का उपयोग करने के बाद मैं बेहतर नहीं होता तो क्या करें?,,,,ज़िफ़ी सीवी २०० टैबलेट
Is it safe to use Bactrim DS Tablet?,Drug,क्या बैकट्रीम डीएस टैबलेट (Bactrim DS Tablet) प्रयोग करना सुरक्षित है?,क्या बैक्ट्रीम डीएस टैबलेट का इस्तेमाल सुरक्षित है?,,,,बैक्ट्रीम डीएस टैबलेट
I have been on alprazolam for quite some time. Is it okay if I start IT-Mac 100 Capsule now?,Drug,मैं काफी समय के लिए alprazolam पर किया गया है. क्या यह ठीक है यदि मैं अभी आईटी-मैक १०० कैप्सूल (IT-Mac 100 Capsule) शुरू करता हूं?,मैं काफी समय से अल्प्राजोलम पर हूं। अगर मैं अभी आईटी-मैक १०० कैप्सूल शुरू करूँ तो क्या यह ठीक है?,,,,"अल्प्राजोलम, आईटी-मैक १०० कैप्सूल"
Is Sucral Suspension available or sold over the counter?,Drug,क्या सुक्रल (Sucral Suspension) उपलब्ध है या काउंटर पर बेचा जाता है?,सुक्रल सस्पेंशन काउंटर पर उपलब्ध या बेचा जाता है?,,,,सुक्रल सस्पेंशन
Is there anything I need to avoid while taking Gabaneuron NT Tablet?,Drug,क्या गाबान्यूरॉन एनटी टैबलेट (Gabaneuron NT Tablet) लेते समय मुझे कुछ भी बचने की ज़रूरत है?,गैबैन्यूरॉन एनटी टैबलेट लेते समय क्या कुछ है जिससे मुझे बचना चाहिए?,,,,गैबैन्यूरॉन एनटी टैबलेट
Can I breastfeed while taking Chericof Syrup?,Drug,क्या चेरीकोफ़ सिरप लेते समय मुझे स्तनपान करा सकते हैं?,क्या मैं चेरिकोफ सिरप लेते समय स्तनपान कर सकता हूं?,,,,चेरिकोफ सिरप
What is Itralase 200 Capsule used for?,Drug,इट्रालेस २०० कैप्सूल के लिए क्या प्रयोग किया जाता है?,इट्रालेस १०० कैप्सूल किसके लिए प्रयोग किया जाता है?,,,,इट्रालेस १०० कैप्सूल
"Why does Retino-A 0.025% Cream cause dry skin, dry lips and dry nose? How to manage these?",Drug,"रेटिनो-ए ०.०२५% क्रीम क्यों शुष्क त्वचा, शुष्क होंठ और शुष्क नाक का कारण बनता है? इन्हें कैसे प्रबंधित किया जाए?","रेटिनो-ए ०.०२५% क्रीम के कारण शुष्क त्वचा, शुष्क होंठ और शुष्क नाक क्यों होती है? इन्हें कैसे मैनेज करें?",,,,रेटिनो-ए ०.०२५% क्रीम
Can Jupiros 10 Tablet cause muscle problems or muscle injury?,Drug,क्या जूपिरोस १० टैबलेट (Jupiros 10 Tablet) मांसपेशियों में समस्याओं या मांसपेशियों में चोट का कारण बन सकता है?,क्या जुपिरोस १० टैबलेट के कारण मांसपेशियों में समस्या या मांसपेशियों में चोट हो सकती है?,,,,जुपिरोस १० टैबलेट
What if I forget to take a dose of Hetrazan 100 Tablet?,Drug,क्या होगा यदि मैं हेट्राज़न १०० टैबलेट (Hetrazan 100 Tablet) की एक खुराक लेना भूल जाता हूं?,अगर मैं हेट्राज़ैन १००  टैबलेट की एक खुराक लेना भूल जाऊं तो क्या करें?,,,,हेट्राज़ैन १०० टैबलेट
Can I drink alcohol while taking Huminsulin  30/70 100IU/ml Cartridge 3ml?,Drug,क्या मैं ह्यूमिनसुलिन 30/70 100IU/ ml कारतूस 3ml लेते समय शराब पी सकता हूं?,क्या मैं ह्यूमिनसुलिन ७०/३० १०० एमएल कारतूस लेते समय शराब पी सकता हूं?,,,,ह्यूमिनसुलिन ७०/३० १०० एमएल
Can Ecosprin-AV 75 Capsule affect the liver?,Drug,क्या इकोस्प्रिन-एवी ७५ कैप्सूल यकृत को प्रभावित कर सकता है?,क्या इकोस्प्रिन-एवी ७५ कैप्सूल यकृत को प्रभावित कर सकता है?,,,,इकोस्प्रिन-एवी ७५ कैप्सूल
For how long do I need to take IT-Mac 200 Capsule?,Drug,मुझे कितने समय तक आईटी-मैक २०० कैप्सूल (IT-Mac 200 Capsule) लेने की जरुरत होती है?,मुझे कितने समय तक आईटी-मैक २०० कैप्सूल लेने की जरुरत होती है?,,,,आईटी-मैक २०० कैप्सूल
Will I need to stop Ecosprin 150 Tablet before surgery or dental procedure?,Drug,क्या मुझे सर्जरी या दंत प्रक्रिया से पहले इकोस्प्रिन १५० टैबलेट (Ecosprin 150 Tablet) को रोकने की आवश्यकता होगी?,क्या मुझे सर्जरी या दंत प्रक्रिया से पहले एकोस्प्रिन 150 टैबलेट को रोकने की आवश्यकता होगी?,,,,एकोस्प्रिन 150 टैबलेट
What are the instructions for storage and disposal of Seroflo 250 Inhaler?,Drug,सेरोफ्लो 250 इनहेलर के भंडारण और निपटान के लिए क्या निर्देश हैं?,सेरोफ्लो  २५ इनहेलर के भंडारण और निपटान के लिए क्या निर्देश हैं?,,,,सेरोफ्लो २५ इनहेलर
How does Zentel Oral Suspension work?,Drug,जेंटेल ओरल कैसे काम करता है?,ज़ेंटेल ओरल सस्पेंशन कैसे काम करता है?,,,,ज़ेंटेल ओरल सस्पेंशन
How often should I use Keraglo - AD Anti-Dandruff Shampoo?,Drug,मुझे कितनी बार केराग्लो - एडी एंटी-डैंड्रफ शैम्पू (Ad Anti-Dandruff Shampoo) का प्रयोग करना चाहिए?,मुझे कितनी बार केराग्लो - एडी एंटी-डैंड्रफ शैम्पू का उपयोग करना चाहिए?,,,,केराग्लो - एडी एंटी-डैंड्रफ शैम्पू
What are the instructions for storage and disposal of Montair-LC Tablet?,Drug,मोंटेयर-एलसी टैबलेट (Montair-LC Tablet) के भंडारण और निपटान के लिए क्या निर्देश हैं?,मोंटेयर-एलसी टैबलेट के भंडारण और निपटान के लिए क्या निर्देश हैं?,,,,मोंटेयर-एलसी टैबलेट
